Linux 6.17.0-1019-aws (ip-172-31-34-148) 	07/23/26 	_x86_64_	(4 CPU)

06:44:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:44:48     all   72.11    0.00    6.78    0.25    0.00    0.75    0.00    0.00    0.00   20.10
06:44:49     all   42.75    0.00    6.87    3.31    0.00    0.25    1.27    0.00    0.00   45.55
06:44:50     all   55.30    0.00    4.29    1.01    0.00    0.51    0.00    0.00    0.00   38.89
06:44:51     all   45.62    0.00    7.99    2.32    0.00    0.00    0.00    0.00    0.00   44.07
06:44:52     all   79.13    0.00   10.43    1.53    0.00    0.51    0.00    0.00    0.00    8.40
06:44:53     all   77.94    0.00    3.01    0.00    0.00    0.50    0.00    0.00    0.00   18.55
06:44:54     all   64.90    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   25.00
06:44:55     all   81.70    0.00    7.77    0.00    0.00    0.75    0.00    0.00    0.00    9.77
06:44:56     all   86.03    0.00   11.47    0.00    0.00    1.75    0.00    0.00    0.00    0.75
06:44:57     all   79.13    0.00    8.40    1.78    0.00    0.25    0.00    0.00    0.00   10.43
06:44:58     all   74.62    0.00    8.46    1.54    0.00    0.77    0.00    0.00    0.00   14.62
06:44:59     all   78.89    0.00    4.77    0.50    0.00    0.00    0.00    0.00    0.00   15.83
06:45:00     all   79.29    0.00    4.55    0.51    0.00    1.01    0.00    0.00    0.00   14.65
06:45:01     all   75.96    0.00    5.37    0.77    0.00    0.51    0.00    0.00    0.00   17.39
06:45:02     all   52.13    0.00    3.26    0.00    0.00    0.50    0.00    0.00    0.00   44.11
06:45:03     all    4.99    0.00    5.25    4.46    0.00    0.00    0.00    0.00    0.00   85.30
06:45:04     all   36.10    0.00    3.90    1.82    0.00    0.00    0.00    0.00    0.00   58.18
06:45:05     all   12.50    0.00    5.73    4.17    0.00    0.26    0.00    0.00    0.00   77.34
06:45:06     all   30.59    0.00    9.25    2.83    0.00    0.77    0.26    0.00    0.00   56.30
06:45:07     all   59.15    0.00   14.54    0.00    0.00    1.50    0.00    0.00    0.00   24.81
06:45:08     all   27.50    0.00    1.75    0.00    0.00    0.75    0.00    0.00    0.00   70.00
