ts_utc,elapsed_s,rss_total_kb,rss_n1_kb,rss_n2_kb,rss_n3_kb,heap_used_total_kb,fd_total,fd_n1,fd_n2,fd_n3,threads_total,gc_cycles_total,gc_cumsec_total,commit_p50_us,commit_p99_us,committed,rejected
2026-07-23T07:39:19Z,31,748416,242972,227056,278388,211059,144,48,48,48,116,3,0.141,3339,193151,2948,0
2026-07-23T07:39:50Z,62,1035084,345380,333728,355976,250120,144,48,48,48,112,6,0.304,3027,7939,3000,0
2026-07-23T07:40:22Z,94,1084196,346244,339012,398940,250120,144,48,48,48,112,6,0.304,2941,4983,3000,0
2026-07-23T07:40:53Z,125,1232196,385672,391204,455320,327961,144,48,48,48,112,7,0.390,2979,5055,3000,0
2026-07-23T07:41:24Z,156,1321088,421836,443800,455452,362785,144,48,48,48,112,10,0.582,2865,4559,3000,0
2026-07-23T07:41:56Z,188,1324220,422416,444000,457804,370973,144,48,48,48,112,13,0.746,2771,4703,3000,0
2026-07-23T07:42:27Z,219,1338952,426268,444312,468372,467233,144,48,48,48,112,17,0.988,2793,4815,3000,0
2026-07-23T07:42:58Z,250,1355300,426284,444576,484440,362788,144,48,48,48,112,20,1.152,2735,4459,3000,0
2026-07-23T07:43:30Z,282,1361132,426296,444576,490260,366897,144,48,48,48,112,21,1.202,2747,4275,3000,0
2026-07-23T07:44:01Z,313,1362472,426328,444576,491568,330042,144,48,48,48,112,24,1.367,3103,4671,3000,0
2026-07-23T07:44:32Z,344,1405456,450112,463692,491652,356669,144,48,48,48,112,27,1.522,2889,4663,3000,0
2026-07-23T07:45:04Z,376,1416692,451296,472232,493164,395583,144,48,48,48,112,30,1.678,2855,4683,3000,0
2026-07-23T07:45:35Z,407,1421064,453336,474456,493272,381267,144,48,48,48,112,33,1.824,2999,4743,3000,0
2026-07-23T07:46:06Z,438,1426916,458344,475300,493272,508252,144,48,48,48,112,36,2.008,3051,4951,3000,0
2026-07-23T07:46:38Z,470,1428176,458360,476484,493332,364893,144,48,48,48,112,39,2.166,2805,4431,3000,0
2026-07-23T07:47:09Z,501,1428204,458380,476484,493340,360802,144,48,48,48,112,42,2.321,2887,4651,3000,0
2026-07-23T07:47:40Z,532,1430128,459352,477360,493416,426354,144,48,48,48,112,46,2.518,2967,4523,3000,0
2026-07-23T07:48:12Z,564,1430476,459692,477368,493416,360821,144,48,48,48,112,49,2.676,2915,5343,3000,0
2026-07-23T07:48:43Z,595,1430488,459704,477368,493416,364918,144,48,48,48,112,50,2.728,2985,4975,3000,0
2026-07-23T07:49:14Z,626,1430868,459752,477684,493432,360824,144,48,48,48,112,53,2.885,3049,4883,3000,0
2026-07-23T07:49:46Z,658,1431020,459752,477684,493584,424314,144,48,48,48,112,56,3.031,2887,4687,3000,0
2026-07-23T07:50:17Z,689,1431036,459768,477684,493584,373114,144,48,48,48,112,59,3.191,2835,4483,3000,0
2026-07-23T07:50:48Z,720,1431044,459772,477688,493584,371069,144,48,48,48,112,62,3.357,2931,4791,3000,0
2026-07-23T07:51:20Z,752,1431880,460604,477692,493584,493956,144,48,48,48,112,65,3.525,2851,4967,3000,0
2026-07-23T07:51:51Z,783,1431888,460612,477692,493584,364936,144,48,48,48,112,68,3.675,2841,4355,3000,0
2026-07-23T07:52:22Z,814,1431984,460612,477784,493588,364939,144,48,48,48,112,71,3.830,2985,4755,3000,0
2026-07-23T07:52:54Z,846,1432824,461452,477784,493588,436626,144,48,48,48,112,75,4.028,2875,5175,3000,0
2026-07-23T07:53:25Z,877,1432972,461464,477860,493648,360865,144,48,48,48,112,78,4.181,3037,4723,3000,0
2026-07-23T07:53:56Z,908,1432980,461468,477860,493652,352676,144,48,48,48,112,79,4.236,2857,4663,3000,0
2026-07-23T07:54:28Z,940,1434016,462440,477924,493652,362920,144,48,48,48,112,82,4.396,3027,5055,3000,0
2026-07-23T07:54:59Z,971,1434124,462536,477932,493656,352625,144,48,48,48,112,85,4.540,2925,4751,3000,0
2026-07-23T07:55:30Z,1002,1434136,462544,477936,493656,344330,144,48,48,48,112,88,4.695,2857,4683,3000,0
2026-07-23T07:56:02Z,1034,1434144,462552,477936,493656,358670,144,48,48,48,112,91,4.839,3109,5063,3000,0
2026-07-23T07:56:33Z,1065,1434164,462560,477936,493668,420110,144,48,48,48,112,94,4.991,2825,4983,3000,0
2026-07-23T07:57:04Z,1096,1434168,462564,477936,493668,360724,144,48,48,48,112,97,5.131,2731,4527,3000,0
2026-07-23T07:57:36Z,1128,1434168,462564,477936,493668,362774,144,48,48,48,112,100,5.282,2751,4539,3000,0
2026-07-23T07:58:07Z,1159,1434996,463380,477948,493668,422183,144,48,48,48,112,104,5.472,2783,4623,3000,0
2026-07-23T07:58:38Z,1190,1435044,463428,477948,493668,360748,144,48,48,48,112,106,5.572,2741,4371,3000,0
2026-07-23T07:59:10Z,1222,1435064,463428,477948,493688,362797,144,48,48,48,112,108,5.670,2721,4539,3000,0
2026-07-23T07:59:41Z,1253,1435180,463512,477948,493720,362816,144,48,48,48,112,111,5.829,2793,4543,3000,0
2026-07-23T08:00:12Z,1284,1435236,463520,477952,493764,426304,144,48,48,48,112,114,5.986,2643,4727,3000,0
2026-07-23T08:00:44Z,1316,1438320,466604,477952,493764,352576,144,48,48,48,112,117,6.129,2739,4375,3000,0
2026-07-23T08:01:15Z,1347,1438432,466632,478016,493784,356674,144,48,48,48,112,120,6.282,2929,4547,3000,0
2026-07-23T08:01:46Z,1378,1438444,466632,478016,493796,493891,144,48,48,48,112,123,6.461,2687,4455,3000,0
2026-07-23T08:02:18Z,1410,1438444,466632,478016,493796,356677,144,48,48,48,112,126,6.621,2735,4415,3000,0
2026-07-23T08:02:49Z,1441,1438472,466632,478044,493796,354631,144,48,48,48,112,129,6.784,3193,5147,3000,0
2026-07-23T08:03:20Z,1472,1438472,466632,478044,493796,418121,144,48,48,48,112,133,6.969,2981,5239,3000,0
2026-07-23T08:03:52Z,1504,1438520,466632,478048,493840,356703,144,48,48,48,112,136,7.107,2785,4403,3000,0
2026-07-23T08:04:23Z,1535,1438520,466632,478048,493840,366944,144,48,48,48,112,137,7.154,2885,4575,3000,0
2026-07-23T08:04:54Z,1566,1438528,466632,478052,493844,358755,144,48,48,48,112,140,7.303,3029,4799,3000,0
2026-07-23T08:05:26Z,1598,1438532,466636,478052,493844,432488,144,48,48,48,112,143,7.452,2729,4887,3000,0
2026-07-23T08:05:57Z,1629,1438532,466636,478052,493844,362859,144,48,48,48,112,146,7.609,2829,4463,3000,0
2026-07-23T08:06:28Z,1660,1438540,466636,478056,493848,356719,144,48,48,48,112,149,7.761,2791,4551,3000,0
2026-07-23T08:07:00Z,1692,1438760,466636,478276,493848,487796,144,48,48,48,112,153,7.958,2751,4603,3000,0
2026-07-23T08:07:31Z,1723,1438760,466636,478276,493848,362870,144,48,48,48,112,156,8.100,2685,4231,3000,0
2026-07-23T08:08:02Z,1754,1438760,466636,478276,493848,354680,144,48,48,48,112,159,8.250,2767,4475,3000,0
2026-07-23T08:08:34Z,1786,1438764,466636,478276,493852,489849,144,48,48,48,112,162,8.454,2777,4915,3000,0
2026-07-23T08:09:05Z,1817,1438796,466636,478276,493884,356730,144,48,48,48,112,165,8.618,2841,4491,3000,0
2026-07-23T08:09:36Z,1848,1438804,466644,478276,493884,362874,144,48,48,48,112,166,8.667,2959,4747,3000,0
2026-07-23T08:10:08Z,1880,1438804,466644,478276,493884,356737,144,48,48,48,112,169,8.824,3033,4759,3000,0
2026-07-23T08:10:39Z,1911,1440784,466652,480248,493884,418178,144,48,48,48,112,172,8.976,2841,4483,3000,0
2026-07-23T08:11:10Z,1942,1440788,466656,480248,493884,362891,144,48,48,48,112,175,9.121,2987,4667,3000,0
2026-07-23T08:11:42Z,1974,1440788,466656,480248,493884,358799,144,48,48,48,112,178,9.274,2877,4759,3000,0
2026-07-23T08:12:13Z,2005,1440804,466660,480256,493888,385440,144,48,48,48,112,182,9.467,2795,4963,3000,0
2026-07-23T08:12:44Z,2036,1440804,466660,480256,493888,352675,144,48,48,48,112,185,9.616,2931,4535,3000,0
2026-07-23T08:13:16Z,2068,1440808,466660,480260,493888,362916,144,48,48,48,112,188,9.767,3139,4859,3000,0
2026-07-23T08:13:47Z,2099,1441684,467484,480296,493904,493989,144,48,48,48,112,191,9.967,2825,5147,3000,0
2026-07-23T08:14:18Z,2130,1443124,468924,480296,493904,354725,144,48,48,48,112,194,10.118,2803,4495,3000,0
2026-07-23T08:14:50Z,2162,1443148,468948,480296,493904,354725,144,48,48,48,112,195,10.165,2803,4651,3000,0
2026-07-23T08:15:21Z,2193,1443152,468952,480296,493904,352681,144,48,48,48,112,198,10.332,2995,4739,3000,0
2026-07-23T08:15:52Z,2224,1444040,469776,480356,493908,463273,144,48,48,48,112,201,10.514,2695,4643,3000,0
2026-07-23T08:16:24Z,2256,1444268,469984,480372,493912,356778,144,48,48,48,112,204,10.655,2709,4255,3000,0
2026-07-23T08:16:55Z,2287,1444268,469984,480372,493912,350638,144,48,48,48,112,207,10.803,2995,4599,3000,0
2026-07-23T08:17:26Z,2318,1445088,470804,480372,493912,426419,144,48,48,48,112,211,10.995,2655,4735,3000,0
2026-07-23T08:17:58Z,2350,1445104,470816,480376,493912,367031,144,48,48,48,112,214,11.142,2809,4675,3000,0
2026-07-23T08:18:29Z,2381,1445104,470816,480376,493912,375227,144,48,48,48,112,217,11.289,2785,4403,3000,0
2026-07-23T08:19:00Z,2412,1445916,471628,480376,493912,485824,144,48,48,48,112,220,11.437,2787,4479,3000,0
2026-07-23T08:19:32Z,2444,1445924,471632,480376,493916,360901,144,48,48,48,112,223,11.586,2783,4543,3000,0
2026-07-23T08:20:03Z,2475,1445924,471632,480376,493916,360903,144,48,48,48,112,224,11.639,2907,4511,3000,0
2026-07-23T08:20:34Z,2506,1445928,471636,480376,493916,373195,144,48,48,48,112,227,11.796,2925,4463,3000,0
2026-07-23T08:21:06Z,2538,1445948,471656,480376,493916,461264,144,48,48,48,112,230,11.971,2713,4375,3000,0
2026-07-23T08:21:37Z,2569,1445976,471684,480376,493916,354787,144,48,48,48,112,233,12.120,2821,4703,3000,0
2026-07-23T08:22:09Z,2601,1445984,471692,480376,493916,360936,144,48,48,48,112,236,12.273,2803,4623,3000,0
2026-07-23T08:22:40Z,2632,1445996,471696,480380,493920,412137,144,48,48,48,112,240,12.463,2899,4519,3000,0
2026-07-23T08:23:11Z,2663,1445996,471696,480380,493920,350699,144,48,48,48,112,243,12.607,2855,4403,3000,0
2026-07-23T08:23:42Z,2694,1446000,471696,480380,493924,371180,144,48,48,48,112,246,12.753,2699,4515,3000,0
2026-07-23T08:24:14Z,2726,1446040,471696,480420,493924,539119,144,48,48,48,112,249,12.942,2719,4559,3000,0
2026-07-23T08:24:45Z,2757,1446044,471696,480420,493928,348657,144,48,48,48,112,252,13.091,2653,4119,3000,0
2026-07-23T08:25:16Z,2788,1446048,471696,480420,493932,346612,144,48,48,48,112,253,13.140,2835,4359,3000,0
2026-07-23T08:25:48Z,2820,1446052,471700,480420,493932,365048,144,48,48,48,112,256,13.291,2727,4795,3000,0
2026-07-23T08:26:19Z,2851,1446868,472516,480420,493932,381433,144,48,48,48,112,259,13.431,2641,4551,3000,0
2026-07-23T08:26:50Z,2882,1446872,472520,480420,493932,356857,144,48,48,48,112,262,13.571,2701,4423,3000,0
2026-07-23T08:27:22Z,2914,1446880,472524,480420,493936,365058,144,48,48,48,112,265,13.723,2721,4427,3000,0
2026-07-23T08:27:53Z,2945,1446888,472528,480420,493940,424451,144,48,48,48,112,269,13.917,2855,4631,3000,0
2026-07-23T08:28:24Z,2976,1446892,472532,480420,493940,363018,144,48,48,48,112,272,14.071,2735,4575,3000,0
2026-07-23T08:28:55Z,3007,1446896,472536,480420,493940,358923,144,48,48,48,112,275,14.225,2941,4563,3000,0
2026-07-23T08:29:27Z,3039,1447724,473364,480420,493940,496139,144,48,48,48,112,278,14.386,2753,4323,3000,0
2026-07-23T08:29:58Z,3070,1447724,473364,480420,493940,348683,144,48,48,48,112,281,14.538,2709,4435,3000,0
2026-07-23T08:30:29Z,3101,1447724,473364,480420,493940,346635,144,48,48,48,112,282,14.589,2713,4303,3000,0
2026-07-23T08:31:01Z,3133,1447728,473368,480420,493940,344588,144,48,48,48,112,285,14.738,2813,4387,3000,0
2026-07-23T08:31:32Z,3164,1447728,473368,480420,493940,416268,144,48,48,48,112,288,14.871,2663,4639,3000,0
2026-07-23T08:32:03Z,3195,1447728,473368,480420,493940,360973,144,48,48,48,112,291,15.012,2787,4579,3000,0
2026-07-23T08:32:35Z,3227,1447760,473368,480452,493940,358925,144,48,48,48,112,294,15.175,2833,4455,3000,0
2026-07-23T08:33:06Z,3258,1447964,473572,480452,493940,432661,144,48,48,48,112,298,15.368,2747,4531,3000,0
2026-07-23T08:33:37Z,3289,1448092,473700,480452,493940,354839,144,48,48,48,112,301,15.513,2719,4359,3000,0
2026-07-23T08:34:09Z,3321,1448092,473700,480452,493940,373271,144,48,48,48,112,304,15.666,2789,4387,3000,0
2026-07-23T08:34:40Z,3352,1448092,473700,480452,493940,414231,144,48,48,48,112,307,15.808,2689,4647,3000,0
2026-07-23T08:35:11Z,3383,1448092,473700,480452,493940,346647,144,48,48,48,112,310,15.965,2849,4463,3000,0
2026-07-23T08:35:43Z,3415,1448092,473700,480452,493940,346647,144,48,48,48,112,311,16.020,2793,4703,3000,0
2026-07-23T08:36:14Z,3446,1448092,473700,480452,493940,352792,144,48,48,48,112,314,16.166,2859,4363,3000,0
2026-07-23T08:36:45Z,3477,1448104,473704,480456,493944,410138,144,48,48,48,112,317,16.307,2793,4739,3000,0
2026-07-23T08:37:17Z,3509,1448108,473708,480456,493944,354843,144,48,48,48,112,320,16.454,2733,4463,3000,0
2026-07-23T08:37:48Z,3540,1448108,473708,480456,493944,360988,144,48,48,48,112,323,16.604,2795,4439,3000,0
2026-07-23T08:38:19Z,3571,1448116,473708,480456,493952,352802,144,48,48,48,112,327,16.790,2725,4611,3000,0
2026-07-23T08:38:51Z,3603,1448124,473716,480456,493952,363046,144,48,48,48,112,330,16.934,2875,4483,3000,0
2026-07-23T08:39:22Z,3634,1448532,473720,480456,494356,371238,144,48,48,48,112,333,17.085,2769,4291,3000,0
2026-07-23T08:39:53Z,3665,1448540,473728,480456,494356,459305,144,48,48,48,112,336,17.242,2741,4459,3000,0
2026-07-23T08:40:25Z,3697,1448540,473728,480456,494356,361002,144,48,48,48,112,339,17.402,2641,4259,3000,0
2026-07-23T08:40:56Z,3728,1448552,473736,480460,494356,373290,144,48,48,48,112,340,17.452,2693,4219,3000,0
2026-07-23T08:41:27Z,3759,1448568,473752,480460,494356,379436,144,48,48,48,112,343,17.614,2813,4547,3000,0
2026-07-23T08:41:59Z,3791,1448572,473756,480460,494356,424497,144,48,48,48,112,346,17.757,2677,4295,3000,0
2026-07-23T08:42:30Z,3822,1448576,473760,480460,494356,344625,144,48,48,48,112,349,17.903,2757,4387,3000,0
2026-07-23T08:43:01Z,3853,1448576,473760,480460,494356,352821,144,48,48,48,112,352,18.048,2845,4659,3000,0
2026-07-23T08:43:33Z,3885,1448580,473764,480460,494356,494134,144,48,48,48,112,356,18.262,2699,4611,3000,0
2026-07-23T08:44:04Z,3916,1448580,473764,480460,494356,365110,144,48,48,48,112,359,18.408,2723,4239,3000,0
2026-07-23T08:44:35Z,3947,1448580,473764,480460,494356,363062,144,48,48,48,112,362,18.561,2867,4479,3000,0
2026-07-23T08:45:06Z,3978,1448580,473764,480460,494356,463414,144,48,48,48,112,365,18.716,2815,4431,3000,0
2026-07-23T08:45:38Z,4010,1448580,473764,480460,494356,354870,144,48,48,48,112,368,18.860,2697,4323,3000,0
2026-07-23T08:46:09Z,4041,1448584,473764,480464,494356,356918,144,48,48,48,112,369,18.909,2845,4455,3000,0
2026-07-23T08:46:41Z,4073,1448584,473764,480464,494356,361014,144,48,48,48,112,372,19.062,2743,4899,3000,0
2026-07-23T08:47:12Z,4104,1449612,474792,480464,494356,451126,144,48,48,48,112,375,19.260,2805,4779,3000,0
2026-07-23T08:47:43Z,4135,1449648,474828,480464,494356,361014,144,48,48,48,112,378,19.412,2721,4239,3000,0
2026-07-23T08:48:15Z,4167,1449648,474828,480464,494356,344630,144,48,48,48,112,381,19.561,2757,4367,3000,0
2026-07-23T08:48:46Z,4198,1449672,474828,480464,494380,498252,144,48,48,48,112,385,19.794,2775,5015,3000,0
2026-07-23T08:49:17Z,4229,1449672,474828,480464,494380,348748,144,48,48,48,112,388,19.946,2689,4343,3000,0
2026-07-23T08:49:48Z,4260,1449676,474832,480464,494380,363086,144,48,48,48,112,391,20.095,2819,4359,3000,0
2026-07-23T08:50:20Z,4292,1449676,474832,480464,494380,389710,144,48,48,48,112,394,20.225,2779,5095,3000,0
2026-07-23T08:50:51Z,4323,1449684,474836,480468,494380,363086,144,48,48,48,112,397,20.358,2659,4811,3000,0
2026-07-23T08:51:22Z,4354,1449684,474836,480468,494380,363086,144,48,48,48,112,398,20.403,2713,4331,3000,0
2026-07-23T08:51:54Z,4386,1449684,474836,480468,494380,365134,144,48,48,48,112,401,20.552,2739,4419,3000,0
2026-07-23T08:52:25Z,4417,1449728,474836,480472,494420,389710,144,48,48,48,112,405,20.761,2661,4499,3000,0
2026-07-23T08:52:56Z,4448,1449728,474836,480472,494420,358990,144,48,48,48,112,408,20.911,2663,4643,3000,0
2026-07-23T08:53:28Z,4480,1449728,474836,480472,494420,367182,144,48,48,48,112,411,21.075,2789,4459,3000,0
2026-07-23T08:53:59Z,4511,1449740,474840,480480,494420,418383,144,48,48,48,112,414,21.217,2701,4571,3000,0
2026-07-23T08:54:31Z,4543,1449776,474852,480480,494444,348764,144,48,48,48,112,417,21.364,2893,4679,3000,0
2026-07-23T08:55:02Z,4574,1449784,474856,480480,494448,365153,144,48,48,48,112,420,21.525,2985,4547,3000,0
2026-07-23T08:55:33Z,4605,1449788,474856,480480,494452,424546,144,48,48,48,112,423,21.674,2757,4255,3000,0
2026-07-23T08:56:04Z,4636,1449792,474860,480480,494452,354916,144,48,48,48,112,425,21.775,2701,4491,3000,0
2026-07-23T08:56:36Z,4668,1449792,474860,480480,494452,356964,144,48,48,48,112,427,21.872,2723,4403,3000,0
2026-07-23T08:57:07Z,4699,1449792,474860,480480,494452,348772,144,48,48,48,112,430,22.033,2787,4611,3000,0
2026-07-23T08:57:38Z,4730,1449792,474860,480480,494452,379493,144,48,48,48,112,434,22.225,2685,4607,3000,0
2026-07-23T08:58:10Z,4762,1450784,474860,480480,495444,356965,144,48,48,48,112,437,22.394,2747,4687,3000,0
2026-07-23T08:58:41Z,4793,1450784,474860,480480,495444,316005,144,48,48,48,112,440,22.550,2891,4607,3000,0
2026-07-23T08:59:12Z,4824,1450796,474864,480484,495448,420466,144,48,48,48,112,443,22.693,2713,4571,3000,0
2026-07-23T08:59:44Z,4856,1450796,474864,480484,495448,344690,144,48,48,48,112,446,22.849,2883,4571,3000,0
2026-07-23T09:00:15Z,4887,1450800,474868,480484,495448,352882,144,48,48,48,112,449,23.003,2751,4375,3000,0
2026-07-23T09:00:46Z,4918,1450832,474876,480496,495460,424577,144,48,48,48,112,452,23.142,2811,4447,3000,0
2026-07-23T09:01:18Z,4950,1450836,474880,480496,495460,352913,144,48,48,48,112,454,23.246,2959,4923,3000,0
2026-07-23T09:01:49Z,4981,1450836,474880,480496,495460,357009,144,48,48,48,112,456,23.346,2837,4923,3000,0
2026-07-23T09:02:20Z,5012,1450840,474880,480496,495464,363154,144,48,48,48,112,460,23.546,3173,4987,3000,0
2026-07-23T09:02:52Z,5044,1450848,474884,480496,495468,424600,144,48,48,48,112,463,23.699,2725,4539,3000,0
2026-07-23T09:03:23Z,5075,1451148,475180,480496,495472,352941,144,48,48,48,112,466,23.856,2945,4771,3000,0
2026-07-23T09:03:54Z,5106,1451156,475180,480504,495472,371373,144,48,48,48,112,469,24.005,2927,4619,3000,0
2026-07-23T09:04:26Z,5138,1451156,475180,480504,495472,492205,144,48,48,48,112,472,24.160,2869,4671,3000,0
2026-07-23T09:04:57Z,5169,1454040,478064,480504,495472,361133,144,48,48,48,112,475,24.314,2939,4667,3000,0
2026-07-23T09:05:28Z,5200,1454052,478068,480512,495472,369325,144,48,48,48,112,477,24.408,3079,4723,3000,0
2026-07-23T09:06:00Z,5232,1454052,478068,480512,495472,354989,144,48,48,48,112,482,24.654,2895,5003,3000,0
2026-07-23T09:06:31Z,5263,1454052,478068,480512,495472,352941,144,48,48,48,112,484,24.757,2843,4903,3000,0
2026-07-23T09:07:03Z,5295,1454052,478068,480512,495472,357037,144,48,48,48,112,486,24.859,2881,4615,3000,0
2026-07-23T09:07:34Z,5326,1454052,478068,480512,495472,367278,144,48,48,48,112,489,25.006,2871,4543,3000,0
2026-07-23T09:08:05Z,5357,1454052,478068,480512,495472,389807,144,48,48,48,112,492,25.148,2675,5263,3000,0
2026-07-23T09:08:37Z,5389,1454056,478072,480512,495472,365236,144,48,48,48,112,495,25.295,2815,4507,3000,0
2026-07-23T09:09:08Z,5420,1454056,478072,480512,495472,361140,144,48,48,48,112,498,25.453,2905,4815,3000,0
2026-07-23T09:09:39Z,5451,1454056,478072,480512,495472,445108,144,48,48,48,112,501,25.606,2967,4859,3000,0
2026-07-23T09:10:11Z,5483,1454068,478080,480512,495476,354996,144,48,48,48,112,504,25.759,2913,4739,3000,0
2026-07-23T09:10:42Z,5514,1454072,478084,480512,495476,361140,144,48,48,48,112,507,25.910,2953,4531,3000,0
2026-07-23T09:11:13Z,5545,1454092,478104,480512,495476,340680,144,48,48,48,112,511,26.098,3017,4715,3000,0
2026-07-23T09:11:44Z,5576,1454092,478104,480512,495476,352968,144,48,48,48,112,513,26.198,3027,4519,3000,0
2026-07-23T09:12:16Z,5608,1454092,478104,480512,495476,355016,144,48,48,48,112,515,26.296,2873,4783,3000,0
2026-07-23T09:12:47Z,5639,1454160,478164,480516,495480,365263,144,48,48,48,112,518,26.451,2843,4779,3000,0
