[soak] launching 3-node cluster (-XX:+UseZGC -Xmx2g -Xms2g) under /mnt/nvme/run/soak; out=/mnt/nvme/run/soak; signing-key=/mnt/nvme/Configd/deploy/compose/secrets/signing-key.bin
[soak] all 3 nodes ready
[soak] t+31s rss=1186832kb fd=350 thr=157 gc_cycles=3 gc_cumsec=0.066 commit_p50=2359us p99=9375us committed=9000 rejected=0
[soak] t+62s rss=1807184kb fd=350 thr=164 gc_cycles=6 gc_cumsec=0.157 commit_p50=2257us p99=3473us committed=9000 rejected=0
[soak] t+94s rss=2029420kb fd=350 thr=165 gc_cycles=7 gc_cumsec=0.195 commit_p50=2271us p99=3203us committed=9000 rejected=0
[soak] t+125s rss=2335656kb fd=350 thr=166 gc_cycles=10 gc_cumsec=0.331 commit_p50=2261us p99=3243us committed=9000 rejected=0
[soak] t+156s rss=2380016kb fd=350 thr=167 gc_cycles=14 gc_cumsec=0.634 commit_p50=2227us p99=3207us committed=9000 rejected=0
[soak] t+187s rss=2396104kb fd=350 thr=168 gc_cycles=18 gc_cumsec=0.911 commit_p50=2221us p99=3043us committed=9000 rejected=0
[soak] t+218s rss=2406132kb fd=350 thr=169 gc_cycles=22 gc_cumsec=1.163 commit_p50=2213us p99=3081us committed=9000 rejected=0
[soak] t+250s rss=2416992kb fd=350 thr=170 gc_cycles=27 gc_cumsec=1.490 commit_p50=2223us p99=2993us committed=9000 rejected=0
[soak] t+281s rss=2430428kb fd=350 thr=171 gc_cycles=30 gc_cumsec=1.707 commit_p50=2223us p99=3031us committed=9000 rejected=0
[soak] t+312s rss=2436308kb fd=350 thr=172 gc_cycles=34 gc_cumsec=1.963 commit_p50=2211us p99=2925us committed=9000 rejected=0
[soak] t+343s rss=2441096kb fd=350 thr=173 gc_cycles=38 gc_cumsec=2.212 commit_p50=2195us p99=2923us committed=9000 rejected=0
[soak] t+374s rss=2445052kb fd=350 thr=174 gc_cycles=42 gc_cumsec=2.459 commit_p50=2105us p99=2877us committed=9000 rejected=0
[soak] t+405s rss=2449048kb fd=350 thr=175 gc_cycles=45 gc_cumsec=2.629 commit_p50=2121us p99=3267us committed=9000 rejected=0
[soak] t+437s rss=2454364kb fd=350 thr=176 gc_cycles=50 gc_cumsec=2.935 commit_p50=2143us p99=3389us committed=9000 rejected=0
