Linux 6.18.35-68.127.amzn2023.x86_64 (ip-172-31-43-39.ap-south-1.compute.internal) 	06/26/26 	_x86_64_	(16 CPU)

22:02:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:02:17     all   46.64    0.00    4.40    0.00    0.00    0.00    0.00    0.00    0.00   48.96
22:02:17       0   48.04    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   48.04
22:02:17       1   49.06    0.00    4.72    0.00    0.00    0.00    0.00    0.00    0.00   46.23
22:02:17       2   40.78    0.00    3.88    0.00    0.00    0.00    0.00    0.00    0.00   55.34
22:02:17       3   59.05    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   37.14
22:02:17       4   49.02    0.00    5.88    0.00    0.00    0.00    0.00    0.00    0.00   45.10
22:02:17       5   37.62    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   56.44
22:02:17       6   41.35    0.00    1.92    0.00    0.00    0.00    0.00    0.00    0.00   56.73
22:02:17       7   61.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   27.00
22:02:17       8   46.08    0.00    5.88    0.00    0.00    0.00    0.00    0.00    0.00   48.04
22:02:17       9   49.02    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   48.04
22:02:17      10   46.46    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   50.51
22:02:17      11   43.30    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   53.61
22:02:17      12   43.14    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   53.92
22:02:17      13   43.56    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   52.48
22:02:17      14   42.45    0.00    3.77    0.00    0.00    0.00    0.00    0.00    0.00   53.77
22:02:17      15   46.23    0.00    2.83    0.00    0.00    0.00    0.00    0.00    0.00   50.94

22:02:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:02:18     all   44.96    0.00    1.59    0.06    0.00    0.06    0.00    0.00    0.00   53.32
22:02:18       0   35.05    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   63.92
22:02:18       1   49.48    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   49.48
22:02:18       2   39.22    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   59.80
22:02:18       3   88.89    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   10.10
22:02:18       4   59.38    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   39.58
