% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 94.70   19.581303         103    188722     86113 futex
  2.94    0.606903           7     78766           epoll_pwait2
  1.33    0.274050           3     80000           sendto
  0.86    0.178219           2     78805           write
  0.09    0.017798          14      1218           mprotect
  0.02    0.004020           9       413           mmap
  0.02    0.003452           3      1119           lseek
  0.02    0.003203          14       222           rt_sigprocmask
  0.01    0.002409           4       485           pread64
  0.01    0.001968           1      1267           read
  0.01    0.001204          54        22           madvise
  0.01    0.001051          35        30           clone3
  0.00    0.000194           0       204        97 openat
  0.00    0.000182           1       125           close
  0.00    0.000179          16        11           sysinfo
  0.00    0.000165           5        31           munmap
  0.00    0.000137           4        29           prctl
  0.00    0.000137           4        31           rseq
  0.00    0.000135           4        31           set_robust_list
  0.00    0.000113           3        33           gettid
  0.00    0.000103           2        46           sched_getaffinity
  0.00    0.000068           0       110         1 fstat
  0.00    0.000051           1        39        15 stat
  0.00    0.000051           6         8           sched_yield
  0.00    0.000044           1        23           clock_gettime
  0.00    0.000032           0        74        72 readlink
  0.00    0.000029           1        20           getrusage
  0.00    0.000018           1        14           socket
  0.00    0.000015           1        14           fcntl
  0.00    0.000012           0        14         3 ioctl
  0.00    0.000011           0        61        54 newfstatat
  0.00    0.000008           0        10         1 access
  0.00    0.000008           4         2           unlink
  0.00    0.000006           1         5         5 connect
  0.00    0.000004           0         5           epoll_wait
  0.00    0.000003           1         2           uname
  0.00    0.000003           1         3           getcwd
  0.00    0.000002           0         7           getpid
  0.00    0.000002           0         3           getsockopt
  0.00    0.000002           2         1           getuid
  0.00    0.000002           0         8           epoll_ctl
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0        24           rt_sigaction
  0.00    0.000000           0         1           rt_sigreturn
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         2           getsockname
  0.00    0.000000           0         1           getpeername
  0.00    0.000000           0         5           setsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         3           eventfd2
  0.00    0.000000           0         3           epoll_create1
  0.00    0.000000           0         1         1 recvmmsg
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1         1 sendmmsg
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         3           statx
------ ----------- ----------- --------- --------- ------------------
100.00   20.677296          47    432118     86366 total
