% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 95.81    9.184788          80    113776     47658 futex
  3.38    0.324382           2    116154           io_uring_enter
  0.56    0.053582           1     38792           write
  0.11    0.010715           8      1226           mprotect
  0.04    0.003453           2      1270           read
  0.03    0.003000           6       436           mmap
  0.03    0.002598           2      1123           lseek
  0.02    0.002022           4       488           pread64
  0.00    0.000398          12        31           clone3
  0.00    0.000272           1       203        97 openat
  0.00    0.000185           0       230           rt_sigprocmask
  0.00    0.000157           4        39           munmap
  0.00    0.000155          17         9           io_uring_setup
  0.00    0.000154           1       126           close
  0.00    0.000152           2        74        72 readlink
  0.00    0.000134           4        32           rseq
  0.00    0.000082           2        39        15 stat
  0.00    0.000082           1        61        54 newfstatat
  0.00    0.000068           3        22           madvise
  0.00    0.000064           0       110         1 fstat
  0.00    0.000049           5         9           io_uring_register
  0.00    0.000041           4        10         1 access
  0.00    0.000034           1        30           prctl
  0.00    0.000027           2        13           socket
  0.00    0.000026           1        15           clock_gettime
  0.00    0.000026           8         3           statx
  0.00    0.000025           0        47           sched_getaffinity
  0.00    0.000011          11         1           bind
  0.00    0.000011           0        12           getrusage
  0.00    0.000011           0        33           gettid
  0.00    0.000010           0        14         3 ioctl
  0.00    0.000008           0        32           set_robust_list
  0.00    0.000006           2         3         1 unlink
  0.00    0.000005           1         3           getcwd
  0.00    0.000004           2         2           uname
  0.00    0.000003           0        15           sysinfo
  0.00    0.000002           0         9           sched_yield
  0.00    0.000002           0         4           setsockopt
  0.00    0.000001           0         2           getsockname
  0.00    0.000001           1         1           getpeername
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0        24           rt_sigaction
  0.00    0.000000           0         1           rt_sigreturn
  0.00    0.000000           0         7           getpid
  0.00    0.000000           0         4         4 connect
  0.00    0.000000           0         1           execve
  0.00    0.000000           0        14           fcntl
  0.00    0.000000           0         2         1 flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           epoll_ctl
  0.00    0.000000           0         2           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    9.586746          34    274592     47909 total
