% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 89.68   33.924009         926     36618      7963 futex
  4.92    1.859398          46     40013           epoll_pwait2
  2.51    0.949222      949222         1           accept
  1.59    0.602524         370      1625           read
  0.82    0.309261           7     40001           writev
  0.39    0.146647           3     40001           recvfrom
  0.04    0.016480           9      1655           mprotect
  0.01    0.004719           9       499           rt_sigprocmask
  0.01    0.004240           7       571           mmap
  0.01    0.002554           1      1473           lseek
  0.00    0.001640          38        43           madvise
  0.00    0.001080          15        68           clone3
  0.00    0.000583           1       545           pread64
  0.00    0.000490          21        23           sched_yield
  0.00    0.000425           3       129           clock_gettime
  0.00    0.000403           1       204        97 openat
  0.00    0.000339           4        78        76 readlink
  0.00    0.000257           6        41           epoll_ctl
  0.00    0.000221           7        28           sysinfo
  0.00    0.000205           2        69           rseq
  0.00    0.000202           7        28           getrusage
  0.00    0.000180           2        67           prctl
  0.00    0.000162           1        91           sched_getaffinity
  0.00    0.000154           8        19           epoll_create1
  0.00    0.000153           2        64           write
  0.00    0.000151           2        69           set_robust_list
  0.00    0.000143           1       111         1 fstat
  0.00    0.000133           0       182           close
  0.00    0.000114           3        38           munmap
  0.00    0.000099           1        61        54 newfstatat
  0.00    0.000095           1        72           gettid
  0.00    0.000094           2        40        15 stat
  0.00    0.000082          10         8           getsockname
  0.00    0.000055          18         3           bind
  0.00    0.000037           2        15           fcntl
  0.00    0.000030           1        20           socket
  0.00    0.000023           1        18         3 ioctl
  0.00    0.000023           1        19           eventfd2
  0.00    0.000020           1        17           timerfd_create
  0.00    0.000018           0        23           rt_sigaction
  0.00    0.000016           2         8           setsockopt
  0.00    0.000014          14         1           accept4
  0.00    0.000013           3         4         4 connect
  0.00    0.000011           3         3           getcwd
  0.00    0.000010           1         7           getpid
  0.00    0.000010           1         8           getsockopt
  0.00    0.000008           2         3           statx
  0.00    0.000007           3         2           unlink
  0.00    0.000006           3         2           listen
  0.00    0.000006           6         1           socketpair
  0.00    0.000006           3         2           uname
  0.00    0.000006           6         1           clock_nanosleep
  0.00    0.000004           4         1           getuid
  0.00    0.000003           0         5           rt_sigreturn
  0.00    0.000001           0        17           epoll_wait
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         4           brk
  0.00    0.000000           0        10         1 access
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           epoll_create
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1         1 recvmmsg
  0.00    0.000000           0         7           prlimit64
  0.00    0.000000           0         1         1 sendmmsg
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   37.826786         229    164766      8218 total
