% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 71.65   45.349149        1042     43489      9331 futex
 24.89   15.755262         254     61950           io_uring_enter
  1.64    1.038470     1038470         1           accept
  0.93    0.588952         367      1603           read
  0.24    0.152331          69      2204           mprotect
  0.18    0.116092          37      3078           getsockname
  0.13    0.079788          38      2053           setsockopt
  0.09    0.059135          49      1199           write
  0.07    0.046551          45      1024           getpeername
  0.04    0.023025          33       687           mmap
  0.02    0.014736          27       527           rt_sigprocmask
  0.02    0.011536         158        73           clone3
  0.01    0.009120         114        80           sysinfo
  0.01    0.006621         165        40           madvise
  0.01    0.006366           4      1451           lseek
  0.01    0.005730         197        29           getrusage
  0.01    0.004369          59        74           rseq
  0.01    0.003520           6       548           pread64
  0.00    0.002607         104        25           io_uring_setup
  0.00    0.002597          27        96           sched_getaffinity
  0.00    0.002585          29        88           munmap
  0.00    0.001817          25        72           prctl
  0.00    0.001670          15       110           gettid
  0.00    0.001668           9       167           close
  0.00    0.001501          17        88           clock_gettime
  0.00    0.001406          24        57           io_uring_register
  0.00    0.001165          15        74           set_robust_list
  0.00    0.001134           5       204        97 openat
  0.00    0.000801          32        25           sched_yield
  0.00    0.000286           2       111         1 fstat
  0.00    0.000097           2        40        15 stat
  0.00    0.000089           3        23           rt_sigaction
  0.00    0.000064           0        78        76 readlink
  0.00    0.000051           3        15           fcntl
  0.00    0.000048           2        19           socket
  0.00    0.000043          10         4         4 connect
  0.00    0.000041          41         1           shutdown
  0.00    0.000039          39         1           clock_nanosleep
  0.00    0.000037           0        61        54 newfstatat
  0.00    0.000036           2        18           eventfd2
  0.00    0.000030           1        18         3 ioctl
  0.00    0.000028           4         6           getsockopt
  0.00    0.000022           3         7           getpid
  0.00    0.000022           3         7           prlimit64
  0.00    0.000021           2         9           rt_sigreturn
  0.00    0.000019           3         6           getdents64
  0.00    0.000018           4         4           fchdir
  0.00    0.000016           4         4           geteuid
  0.00    0.000012           6         2           ftruncate
  0.00    0.000012           4         3         1 unlink
  0.00    0.000010           3         3           statx
  0.00    0.000008           8         1           statfs
  0.00    0.000006           6         1           flock
  0.00    0.000005           5         1           lstat
  0.00    0.000005           2         2           uname
  0.00    0.000005           1         3           getcwd
  0.00    0.000005           5         1         1 mkdir
  0.00    0.000005           5         1           clock_getres
  0.00    0.000004           4         1           getuid
  0.00    0.000000           0         4           brk
  0.00    0.000000           0        10         1 access
  0.00    0.000000           0         3           bind
  0.00    0.000000           0         2           listen
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           epoll_ctl
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00   63.290788         520    121594      9585 total
