% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 73.89  351.179156        1643    213621     38743 futex
 17.06   81.099776        1812     44743           epoll_pwait2
  7.92   37.626503         101    371573           sendto
  0.85    4.043977          96     42018           write
  0.09    0.414758          66      6244           recvfrom
  0.05    0.249856         136      1835           mprotect
  0.04    0.203675      203675         1           accept
  0.03    0.126171          86      1465           read
  0.02    0.100602         143       701           epoll_wait
  0.01    0.049261          74       661           mmap
  0.01    0.033126         309       107           sysinfo
  0.01    0.027479          38       707           rt_sigprocmask
  0.01    0.024357         270        90           clone3
  0.00    0.021706         339        64           accept4
  0.00    0.010215          16       601           pread64
  0.00    0.008808          37       235           close
  0.00    0.008693          40       217           epoll_ctl
  0.00    0.008166          60       134           setsockopt
  0.00    0.007920           6      1310           lseek
  0.00    0.007215          24       299           gettid
  0.00    0.007114          53       134           getsockname
  0.00    0.004448          49        89           prctl
  0.00    0.003580          62        57           getrusage
  0.00    0.003483          56        62           sched_yield
  0.00    0.003418          28       121           getsockopt
  0.00    0.003393          37        91           rseq
  0.00    0.003243          70        46           madvise
  0.00    0.002989          23       128           sched_getaffinity
  0.00    0.002288          25        91           set_robust_list
  0.00    0.002083          11       187           clock_gettime
  0.00    0.001970          26        75           rt_sigreturn
  0.00    0.001968          33        59           munmap
  0.00    0.001708          68        25           clock_nanosleep
  0.00    0.000529           2       207        97 openat
  0.00    0.000268           3        78        76 readlink
  0.00    0.000257          15        17         3 ioctl
  0.00    0.000253           2       124         1 fstat
  0.00    0.000194           4        41        15 stat
  0.00    0.000119           7        15           fcntl
  0.00    0.000080           4        20           socket
  0.00    0.000069           1        61        54 newfstatat
  0.00    0.000050           2        17           timerfd_create
  0.00    0.000046           2        19           epoll_create1
  0.00    0.000046          15         3           statx
  0.00    0.000036           1        19           eventfd2
  0.00    0.000030           4         7           prlimit64
  0.00    0.000017           4         4           fchdir
  0.00    0.000016           4         4         4 connect
  0.00    0.000013           0        23           rt_sigaction
  0.00    0.000013           6         2           unlink
  0.00    0.000012           3         4           geteuid
  0.00    0.000011           3         3           bind
  0.00    0.000011           5         2           ftruncate
  0.00    0.000011           1         6           getdents64
  0.00    0.000009           4         2           uname
  0.00    0.000008           8         1           epoll_create
  0.00    0.000007           1         7           getpid
  0.00    0.000007           2         3           getcwd
  0.00    0.000006           6         1           flock
  0.00    0.000005           2         2           lstat
  0.00    0.000005           5         1         1 mkdir
  0.00    0.000005           5         1         1 recvmmsg
  0.00    0.000004           0        10         1 access
  0.00    0.000004           4         1         1 sendmmsg
  0.00    0.000003           3         1           getuid
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0         2           listen
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00  475.295249         690    688512     38998 total
