% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 82.21  300.288578        2220    135233     26430 futex
 12.54   45.790648         965     47448           io_uring_enter
  2.32    8.469117         413     20490           write
  1.77    6.448968        2211      2916           mprotect
  0.26    0.939544         646      1454           read
  0.24    0.864508         398      2168           gettid
  0.23    0.841328      841328         1           accept
  0.12    0.436194        1141       382           clock_nanosleep
  0.07    0.257133         493       521         1 rt_sigreturn
  0.06    0.235024         294       799           mmap
  0.05    0.192797         168      1143           rt_sigprocmask
  0.04    0.133284          43      3078           getsockname
  0.02    0.089510         745       120           munmap
  0.02    0.078004          37      2053           setsockopt
  0.01    0.035901          35      1024           getpeername
  0.01    0.032505          45       720           clock_gettime
  0.01    0.027440         277        99           sysinfo
  0.00    0.017367          24       695           sched_yield
  0.00    0.013781          75       183           getrusage
  0.00    0.013612          36       377           sched_getaffinity
  0.00    0.012845           9      1298           lseek
  0.00    0.010233         330        31           madvise
  0.00    0.009078          96        94           clone3
  0.00    0.006452          10       608           pread64
  0.00    0.005220          30       171           close
  0.00    0.003101          54        57           io_uring_register
  0.00    0.002336          24        95           rseq
  0.00    0.001991          20        95           set_robust_list
  0.00    0.001813          19        93           prctl
  0.00    0.000778           3       208        97 openat
  0.00    0.000414           5        78        76 readlink
  0.00    0.000300           2       124         1 fstat
  0.00    0.000163           3        41        15 stat
  0.00    0.000112           4        25           io_uring_setup
  0.00    0.000098           1        61        54 newfstatat
  0.00    0.000075           3        23           rt_sigaction
  0.00    0.000071          23         3         1 unlink
  0.00    0.000056           2        19           socket
  0.00    0.000050           3        15           fcntl
  0.00    0.000043           7         6           getdents64
  0.00    0.000034           8         4         4 connect
  0.00    0.000033           1        17         3 ioctl
  0.00    0.000031           3        10         1 access
  0.00    0.000026           8         3           statx
  0.00    0.000022           3         7           prlimit64
  0.00    0.000017           2         7           getpid
  0.00    0.000017           4         4           fchdir
  0.00    0.000017           4         4           geteuid
  0.00    0.000013           6         2           ftruncate
  0.00    0.000011           0        18           eventfd2
  0.00    0.000009           9         1           statfs
  0.00    0.000008           2         3           getcwd
  0.00    0.000007           1         4           brk
  0.00    0.000005           2         2           lstat
  0.00    0.000005           5         1           flock
  0.00    0.000005           5         1         1 mkdir
  0.00    0.000005           5         1           clock_getres
  0.00    0.000002           1         2           uname
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0         3           bind
  0.00    0.000000           0         2           listen
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         6           getsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           epoll_ctl
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00  365.260739        1629    224161     26685 total
