Linux 7.0.0-1006-aws (ip-172-31-47-97) 	06/20/26 	_x86_64_	(16 CPU)

14:51:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:51:39     all   23.80    0.00    3.41    0.13    0.00    0.06    0.00    0.00    0.00   72.60
14:51:39       0   23.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   74.00
14:51:39       1   21.21    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   76.77
14:51:39       2   36.36    0.00   25.25    0.00    0.00    0.00    0.00    0.00    0.00   38.38
14:51:39       3   22.77    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   75.25
14:51:39       4   23.23    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   73.74
14:51:39       5   15.46    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   82.47
14:51:39       6   25.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
14:51:39       7   20.83    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   77.08
14:51:39       8   22.22    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   75.76
14:51:39       9   23.96    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   75.00
14:51:39      10   23.76    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   74.26
14:51:39      11   24.24    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   73.74
14:51:39      12   23.76    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   73.27
14:51:39      13   22.22    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   75.76
14:51:39      14   29.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
14:51:39      15   23.47    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   74.49

14:51:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:51:40     all   34.26    0.00    3.29    0.32    0.00    0.06    0.00    0.00    0.00   62.07
14:51:40       0   35.71    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   61.22
14:51:40       1   30.93    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   64.95
14:51:40       2   36.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   61.00
14:51:40       3   35.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   61.00
14:51:40       4   36.36    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   59.60
14:51:40       5   31.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   64.00
14:51:40       6   30.69    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   65.35
14:51:40       7   34.34    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   61.62
14:51:40       8   34.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
14:51:40       9   33.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
14:51:40      10   33.67    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   63.27
14:51:40      11   33.33    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   62.63
14:51:40      12   32.99    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   63.92
14:51:40      13   40.40    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   56.57
