Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

21:45:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:37     all   45.48    0.00    4.77    0.06    0.00    0.13    0.00    0.00    0.00   49.56
21:45:37       0   44.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
21:45:37       1   42.42    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   54.55
21:45:37       2   42.42    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   54.55
21:45:37       3   59.00    0.00   27.00    0.00    0.00    0.00    0.00    0.00    0.00   14.00
21:45:37       4   46.39    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   49.48
21:45:37       5   44.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   52.00
21:45:37       6   48.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   49.00
21:45:37       7   45.54    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   50.50
21:45:37       8   51.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   45.00
21:45:37       9   40.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
21:45:37      10   49.49    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   47.47
21:45:37      11   42.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
21:45:37      12   44.44    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   52.53
21:45:37      13   39.80    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   57.14
21:45:37      14   44.55    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   51.49
21:45:37      15   44.55    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   51.49

21:45:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:38     all   44.36    0.00    4.68    0.25    0.00    1.05    0.00    0.00    0.00   49.66
21:45:38       0   40.20    0.00    5.88    0.00    0.00    0.98    0.00    0.00    0.00   52.94
21:45:38       1   37.25    0.00    3.92    0.98    0.00    0.98    0.00    0.00    0.00   56.86
21:45:38       2   39.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   55.00
21:45:38       3   42.57    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   52.48
21:45:38       4   47.06    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   47.06
21:45:38       5   42.42    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   52.53
21:45:38       6   35.58    0.00    4.81    0.96    0.00    1.92    0.00    0.00    0.00   56.73
21:45:38       7   52.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   44.00
21:45:38       8   44.90    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   51.02
21:45:38       9   34.31    0.00    5.88    0.00    0.00    0.98    0.00    0.00    0.00   58.82
21:45:38      10   34.65    0.00    4.95    0.99    0.00    0.99    0.00    0.00    0.00   58.42
21:45:38      11   32.38    0.00    6.67    0.00    0.00    2.86    0.00    0.00    0.00   58.10
21:45:38      12   49.04    0.00    5.77    0.00    0.00    0.96    0.00    0.00    0.00   44.23
21:45:38      13   50.00    0.00    5.77    0.96    0.00    0.96    0.00    0.00    0.00   42.31
21:45:38      14   91.92    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    7.07
21:45:38      15   38.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   56.00

21:45:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:39     all   25.48    0.00    4.07    0.62    0.00    0.68    0.00    0.00    0.00   69.15
21:45:39       0   23.53    0.00    3.92    0.98    0.00    0.98    0.00    0.00    0.00   70.59
21:45:39       1   29.13    0.00    3.88    0.00    0.00    0.97    0.00    0.00    0.00   66.02
21:45:39       2   19.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   76.00
21:45:39       3   31.63    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   65.31
21:45:39       4   23.08    0.00    4.81    0.00    0.00    0.96    0.00    0.00    0.00   71.15
21:45:39       5   16.83    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   78.22
21:45:39       6   24.27    0.00    2.91    0.00    0.00    0.00    0.00    0.00    0.00   72.82
21:45:39       7   15.53    0.00    4.85    1.94    0.00    1.94    0.00    0.00    0.00   75.73
21:45:39       8   22.33    0.00    4.85    0.97    0.00    0.97    0.00    0.00    0.00   70.87
21:45:39       9   16.67    0.00    8.33    0.00    0.00    0.93    0.00    0.00    0.00   74.07
21:45:39      10   18.00    0.00    4.00    1.00    0.00    1.00    0.00    0.00    0.00   76.00
21:45:39      11   17.53    0.00    4.12    1.03    0.00    0.00    0.00    0.00    0.00   77.32
21:45:39      12   20.00    0.00    5.71    2.86    0.00    0.95    0.00    0.00    0.00   70.48
21:45:39      13   20.83    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   77.08
21:45:39      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:45:39      15   10.20    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   84.69

21:45:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:40     all   29.43    0.00    3.59    0.81    0.00    0.81    0.00    0.00    0.00   65.37
21:45:40       0   17.82    0.00    3.96    0.99    0.00    0.99    0.00    0.00    0.00   76.24
21:45:40       1   22.43    0.00    5.61    0.93    0.00    1.87    0.00    0.00    0.00   69.16
21:45:40       2   20.95    0.00    4.76    0.00    0.00    1.90    0.00    0.00    0.00   72.38
21:45:40       3   68.27    0.00    3.85    0.96    0.00    0.00    0.00    0.00    0.00   26.92
21:45:40       4   35.58    0.00    4.81    0.96    0.00    0.96    0.00    0.00    0.00   57.69
21:45:40       5   26.47    0.00    5.88    2.94    0.00    0.98    0.00    0.00    0.00   63.73
21:45:40       6   56.57    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   42.42
21:45:40       7   13.40    0.00    2.06    1.03    0.00    1.03    0.00    0.00    0.00   82.47
21:45:40       8   44.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
21:45:40       9   33.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
21:45:40      10   10.89    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   84.16
21:45:40      11    8.16    0.00    4.08    1.02    0.00    2.04    0.00    0.00    0.00   84.69
21:45:40      12   32.32    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   64.65
21:45:40      13   19.00    0.00    3.00    1.00    0.00    1.00    0.00    0.00    0.00   76.00
21:45:40      14   38.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   57.00
21:45:40      15   22.68    0.00    3.09    1.03    0.00    0.00    0.00    0.00    0.00   73.20

21:45:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:41     all   36.59    0.00    3.65    0.31    0.00    0.62    0.00    0.00    0.00   58.82
21:45:41       0   30.61    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   64.29
21:45:41       1   27.27    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   68.69
21:45:41       2   33.00    0.00    3.00    1.00    0.00    1.00    0.00    0.00    0.00   62.00
21:45:41       3   33.65    0.00    4.81    0.00    0.00    0.00    0.00    0.00    0.00   61.54
21:45:41       4   34.69    0.00    3.06    1.02    0.00    1.02    0.00    0.00    0.00   60.20
21:45:41       5   39.09    0.00    5.45    0.00    0.00    0.91    0.00    0.00    0.00   54.55
21:45:41       6   39.39    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   58.59
21:45:41       7   29.63    0.00    6.48    0.00    0.00    0.93    0.00    0.00    0.00   62.96
21:45:41       8   25.00    0.00    6.73    0.00    0.00    0.96    0.00    0.00    0.00   67.31
21:45:41       9   29.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   68.00
21:45:41      10   25.51    0.00    3.06    1.02    0.00    1.02    0.00    0.00    0.00   69.39
21:45:41      11   33.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   62.00
21:45:41      12   28.28    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   67.68
21:45:41      13   42.57    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   52.48
21:45:41      14   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
21:45:41      15   36.73    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   60.20

21:45:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:42     all   24.13    0.00    3.43    1.10    0.00    0.49    0.00    0.00    0.00   70.85
21:45:42       0   10.42    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   87.50
21:45:42       1   23.76    0.00    3.96    2.97    0.00    0.00    0.00    0.00    0.00   69.31
21:45:42       2   17.48    0.00    3.88    0.97    0.00    0.00    0.00    0.00    0.00   77.67
21:45:42       3   14.43    0.00    1.03    3.09    0.00    0.00    0.00    0.00    0.00   81.44
21:45:42       4   28.43    0.00    3.92    0.98    0.00    0.00    0.00    0.00    0.00   66.67
21:45:42       5   47.12    0.00    4.81    0.00    0.00    0.96    0.00    0.00    0.00   47.12
21:45:42       6   10.48    0.00    3.81    0.00    0.00    0.95    0.00    0.00    0.00   84.76
21:45:42       7   16.82    0.00    5.61    0.93    0.00    0.93    0.00    0.00    0.00   75.70
21:45:42       8   16.67    0.00    5.56    3.70    0.00    0.93    0.00    0.00    0.00   73.15
21:45:42       9   10.78    0.00    3.92    1.96    0.00    0.00    0.00    0.00    0.00   83.33
21:45:42      10   10.20    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   86.73
21:45:42      11   31.73    0.00    3.85    0.00    0.00    0.96    0.00    0.00    0.00   63.46
21:45:42      12   16.49    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   81.44
21:45:42      13   14.02    0.00    5.61    0.93    0.00    1.87    0.00    0.00    0.00   77.57
21:45:42      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:45:42      15   17.65    0.00    2.94    0.98    0.00    0.00    0.00    0.00    0.00   78.43

21:45:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:43     all   25.38    0.00    4.14    1.52    0.00    0.67    0.00    0.00    0.00   68.29
21:45:43       0   13.73    0.00    4.90    2.94    0.00    0.00    0.00    0.00    0.00   78.43
21:45:43       1   37.14    0.00    5.71    1.90    0.00    1.90    0.00    0.00    0.00   53.33
21:45:43       2   13.73    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   80.39
21:45:43       3   24.27    0.00    3.88    0.97    0.00    0.97    0.00    0.00    0.00   69.90
21:45:43       4   15.00    0.00    5.00    5.00    0.00    0.00    0.00    0.00    0.00   75.00
21:45:43       5   27.00    0.00    2.00    2.00    0.00    0.00    0.00    0.00    0.00   69.00
21:45:43       6    6.73    0.00    4.81    0.00    0.00    0.00    0.00    0.00    0.00   88.46
21:45:43       7   35.92    0.00    2.91    0.00    0.00    0.00    0.00    0.00    0.00   61.17
21:45:43       8   30.30    0.00    3.03    3.03    0.00    0.00    0.00    0.00    0.00   63.64
21:45:43       9   19.80    0.00    3.96    0.99    0.00    0.99    0.00    0.00    0.00   74.26
21:45:43      10   14.41    0.00    8.11    1.80    0.00    1.80    0.00    0.00    0.00   73.87
21:45:43      11   12.00    0.00    3.00    2.00    0.00    0.00    0.00    0.00    0.00   83.00
21:45:43      12   24.51    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   73.53
21:45:43      13   20.72    0.00    6.31    0.90    0.00    2.70    0.00    0.00    0.00   69.37
21:45:43      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:45:43      15   13.00    0.00    5.00    3.00    0.00    1.00    0.00    0.00    0.00   78.00

21:45:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:44     all   27.78    0.00    3.77    1.16    0.00    0.67    0.00    0.00    0.00   66.63
21:45:44       0   27.72    0.00    3.96    1.98    0.00    0.99    0.00    0.00    0.00   65.35
21:45:44       1   15.24    0.00    6.67    4.76    0.00    0.95    0.00    0.00    0.00   72.38
21:45:44       2   34.31    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   62.75
21:45:44       3   19.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   77.00
21:45:44       4   19.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   77.00
21:45:44       5   11.88    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   84.16
21:45:44       6    9.43    0.00    4.72    0.00    0.00    0.94    0.00    0.00    0.00   84.91
21:45:44       7   22.55    0.00    2.94    0.98    0.00    1.96    0.00    0.00    0.00   71.57
21:45:44       8   17.31    0.00    5.77    0.00    0.00    0.00    0.00    0.00    0.00   76.92
21:45:44       9   41.41    0.00    3.03    3.03    0.00    0.00    0.00    0.00    0.00   52.53
21:45:44      10   12.15    0.00    6.54    0.93    0.00    1.87    0.00    0.00    0.00   78.50
21:45:44      11   31.68    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   64.36
21:45:44      12   35.24    0.00    3.81    1.90    0.00    0.95    0.00    0.00    0.00   58.10
21:45:44      13   16.83    0.00    2.97    0.99    0.00    0.99    0.00    0.00    0.00   78.22
21:45:44      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
21:45:44      15   33.33    0.00    4.50    0.90    0.00    0.90    0.00    0.00    0.00   60.36

21:45:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:45     all   15.97    0.00    3.89    1.88    0.00    0.36    0.00    0.00    0.00   77.90
21:45:45       0   13.73    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00   82.35
21:45:45       1   17.00    0.00    2.00    4.00    0.00    0.00    0.00    0.00    0.00   77.00
21:45:45       2    8.57    0.00    3.81    0.95    0.00    0.95    0.00    0.00    0.00   85.71
21:45:45       3    8.74    0.00    5.83    4.85    0.00    0.97    0.00    0.00    0.00   79.61
21:45:45       4   14.56    0.00    4.85    1.94    0.00    0.00    0.00    0.00    0.00   78.64
21:45:45       5   11.65    0.00    3.88    1.94    0.00    0.97    0.00    0.00    0.00   81.55
21:45:45       6   38.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
21:45:45       7   11.54    0.00    3.85    0.00    0.00    0.00    0.00    0.00    0.00   84.62
21:45:45       8   15.60    0.00    6.42    0.92    0.00    0.92    0.00    0.00    0.00   76.15
21:45:45       9    7.84    0.00    3.92    0.98    0.00    0.00    0.00    0.00    0.00   87.25
21:45:45      10    7.77    0.00    3.88    2.91    0.00    0.00    0.00    0.00    0.00   85.44
21:45:45      11    9.09    0.00    7.27    0.91    0.00    0.00    0.00    0.00    0.00   82.73
21:45:45      12    5.00    0.00    4.00    4.00    0.00    0.00    0.00    0.00    0.00   87.00
21:45:45      13   10.89    0.00    4.95    4.95    0.00    0.00    0.00    0.00    0.00   79.21
21:45:45      14   71.57    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   26.47
21:45:45      15    5.00    0.00    2.00    2.00    0.00    0.00    0.00    0.00    0.00   91.00

21:45:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:45:46     all   24.63    0.00    3.54    1.59    0.00    0.49    0.00    0.00    0.00   69.76
