Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

21:44:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:44:15     all   38.98    0.00    3.60    0.06    0.00    0.00    0.00    0.00    0.00   57.36
21:44:15       0   39.39    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   58.59
21:44:15       1   42.86    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   56.12
21:44:15       2   31.63    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   65.31
21:44:15       3   38.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
21:44:15       4   34.34    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   63.64
21:44:15       5   43.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
21:44:15       6   45.45    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   51.52
21:44:15       7   43.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
21:44:15       8   41.84    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   57.14
21:44:15       9   33.33    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   65.62
21:44:15      10   26.26    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   69.70
21:44:15      11   40.40    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   57.58
21:44:15      12   45.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
21:44:15      13   35.35    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   62.63
21:44:15      14   42.57    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   55.45
21:44:15      15   40.82    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   57.14

21:44:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:44:16     all   25.60    0.00    1.58    0.25    0.00    0.13    0.00    0.00    0.00   72.45
21:44:16       0   23.47    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   74.49
21:44:16       1   40.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
21:44:16       2   17.17    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   79.80
21:44:16       3   25.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.49
21:44:16       4   25.25    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   72.73
21:44:16       5   17.35    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   80.61
21:44:16       6   25.74    0.00    0.99    0.99    0.00    0.99    0.00    0.00    0.00   71.29
21:44:16       7   19.80    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   77.23
21:44:16       8   29.29    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   67.68
21:44:16       9   13.13    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   85.86
21:44:16      10   14.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
21:44:16      11   60.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   38.00
21:44:16      12   13.40    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   84.54
21:44:16      13   18.18    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   79.80
21:44:16      14   40.40    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   58.59
21:44:16      15   26.26    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   71.72

21:44:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:44:17     all   26.47    0.00    1.76    0.69    0.00    0.06    0.00    0.00    0.00   71.01
21:44:17       0   26.26    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   72.73
21:44:17       1   16.33    0.00    2.04    3.06    0.00    0.00    0.00    0.00    0.00   78.57
21:44:17       2   19.19    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   78.79
21:44:17       3   37.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
21:44:17       4   17.82    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   79.21
21:44:17       5   29.29    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   69.70
21:44:17       6   12.12    0.00    4.04    2.02    0.00    0.00    0.00    0.00    0.00   81.82
21:44:17       7   17.35    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   80.61
21:44:17       8   20.20    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   76.77
21:44:17       9   16.16    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   81.82
21:44:17      10   26.26    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   72.73
