Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

22:12:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:12:38     all   48.45    0.00    5.14    0.00    0.00    0.38    0.00    0.00    0.00   46.04
22:12:38       0   39.18    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   56.70
22:12:38       1   47.47    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   47.47
22:12:38       2   41.84    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   53.06
22:12:38       3   50.51    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   46.46
22:12:38       4   52.53    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   43.43
22:12:38       5   47.96    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   50.00
22:12:38       6   63.64    0.00   26.26    0.00    0.00    1.01    0.00    0.00    0.00    9.09
22:12:38       7   55.56    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   41.41
22:12:38       8   40.82    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   53.06
22:12:38       9   51.52    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   44.44
22:12:38      10   42.42    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   51.52
22:12:38      11   49.49    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   48.48
22:12:38      12   46.39    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   47.42
22:12:38      13   55.56    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   41.41
22:12:38      14   41.84    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   54.08
22:12:38      15   48.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   49.00

22:12:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:12:39     all   82.19    0.00    8.15    0.06    0.00    0.82    0.00    0.00    0.00    8.78
22:12:39       0   81.63    0.00   11.22    0.00    0.00    1.02    0.00    0.00    0.00    6.12
22:12:39       1   85.86    0.00    7.07    0.00    0.00    1.01    0.00    0.00    0.00    6.06
22:12:39       2   88.78    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00    5.10
22:12:39       3   79.00    0.00   11.00    0.00    0.00    1.00    0.00    0.00    0.00    9.00
22:12:39       4   82.00    0.00    8.00    0.00    0.00    1.00    0.00    0.00    0.00    9.00
22:12:39       5   80.00    0.00    9.00    0.00    0.00    1.00    0.00    0.00    0.00   10.00
22:12:39       6   76.77    0.00    8.08    1.01    0.00    0.00    0.00    0.00    0.00   14.14
22:12:39       7   72.73    0.00   13.13    0.00    0.00    2.02    0.00    0.00    0.00   12.12
22:12:39       8   86.87    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00    7.07
22:12:39       9   82.83    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   11.11
22:12:39      10   83.00    0.00   11.00    0.00    0.00    1.00    0.00    0.00    0.00    5.00
22:12:39      11   81.63    0.00   12.24    0.00    0.00    1.02    0.00    0.00    0.00    5.10
22:12:39      12   80.81    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   12.12
22:12:39      13   91.84    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00    5.10
22:12:39      14   79.59    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   12.24
22:12:39      15   81.82    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   11.11

22:12:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:12:40     all   84.61    0.00    7.44    0.25    0.00    1.26    0.06    0.00    0.00    6.37
22:12:40       0   87.00    0.00    7.00    1.00    0.00    1.00    0.00    0.00    0.00    4.00
22:12:40       1   88.89    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00    6.06
22:12:40       2   80.81    0.00   10.10    0.00    0.00    1.01    1.01    0.00    0.00    7.07
22:12:40       3   76.29    0.00   11.34    0.00    0.00    2.06    0.00    0.00    0.00   10.31
22:12:40       4   97.98    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    1.01
