Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

19:34:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:34:28     all   34.74    0.00    3.98    0.19    0.00    0.06    0.00    0.00    0.00   61.02
19:34:28       0   33.33    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   63.64
19:34:28       1   47.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   50.00
19:34:28       2   31.63    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   66.33
19:34:28       3   28.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   68.00
19:34:28       4   44.90    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   38.78
19:34:28       5   32.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   65.00
19:34:28       6   28.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   58.00
19:34:28       7   36.73    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   61.22
19:34:28       8   34.34    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   63.64
19:34:28       9   33.67    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   64.29
19:34:28      10   36.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
19:34:28      11   32.29    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   65.62
19:34:28      12   35.35    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   61.62
19:34:28      13   35.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
19:34:28      14   35.71    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   62.24
19:34:28      15   32.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   65.00

19:34:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:34:29     all   23.05    0.00    1.95    0.38    0.00    0.13    0.00    0.00    0.00   74.50
19:34:29       0   22.00    0.00    2.00    1.00    0.00    1.00    0.00    0.00    0.00   74.00
19:34:29       1   19.80    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   77.23
19:34:29       2   27.55    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   70.41
19:34:29       3   21.21    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   76.77
19:34:29       4   16.16    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   81.82
19:34:29       5   18.37    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   79.59
19:34:29       6   30.30    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   67.68
19:34:29       7   29.29    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   68.69
19:34:29       8   25.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
19:34:29       9   25.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
19:34:29      10   21.21    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   77.78
19:34:29      11   16.16    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   79.80
19:34:29      12   21.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   77.00
19:34:29      13   23.23    0.00    2.02    2.02    0.00    0.00    0.00    0.00    0.00   72.73
19:34:29      14   29.29    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   68.69
19:34:29      15   23.23    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   72.73

