Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

20:02:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:46     all   40.39    0.00    4.11    0.13    0.00    0.13    0.00    0.00    0.00   55.25
20:02:46       0   38.38    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   59.60
20:02:46       1   42.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
20:02:46       2   38.38    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   58.59
20:02:46       3   45.45    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   52.53
20:02:46       4   45.45    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   52.53
20:02:46       5   55.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   20.00
20:02:46       6   32.65    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   64.29
20:02:46       7   31.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   65.00
20:02:46       8   40.40    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   56.57
20:02:46       9   44.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   53.00
20:02:46      10   38.78    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   59.18
20:02:46      11   46.94    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   48.98
20:02:46      12   36.36    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   61.62
20:02:46      13   36.73    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   60.20
20:02:46      14   40.40    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   54.55
20:02:46      15   34.02    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   62.89

20:02:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:47     all   29.80    0.00    2.03    0.06    0.00    0.06    0.00    0.00    0.00   68.04
20:02:47       0   22.45    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   74.49
20:02:47       1   22.45    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   74.49
20:02:47       2   15.15    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   83.84
20:02:47       3   25.25    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   72.73
20:02:47       4   24.49    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   72.45
20:02:47       5   25.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   73.74
20:02:47       6   32.32    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   65.66
20:02:47       7   20.20    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   76.77
20:02:47       8   28.87    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   70.10
20:02:47       9   24.75    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   71.29
20:02:47      10   20.41    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   77.55
20:02:47      11   39.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
20:02:47      12   21.88    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   76.04
20:02:47      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:02:47      14   32.99    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   64.95
20:02:47      15   20.20    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   76.77

20:02:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:02:48     all   52.88    0.00    3.61    0.06    0.00    0.32    0.00    0.00    0.00   43.14
20:02:48       0   50.52    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   45.36
20:02:48       1   46.39    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   49.48
20:02:48       2   39.39    0.00    7.07    0.00    0.00    1.01    0.00    0.00    0.00   52.53
20:02:48       3   69.39    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   29.59
20:02:48       4   56.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   40.82
20:02:48       5   64.36    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   31.68
20:02:48       6   62.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   34.00
