Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

20:03:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:03:06     all   40.23    0.00    4.41    0.06    0.00    0.19    0.00    0.00    0.00   55.11
20:03:06       0   43.43    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   53.54
20:03:06       1   45.45    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   52.53
20:03:06       2   38.24    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00   57.84
20:03:06       3   37.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   59.00
20:03:06       4   35.71    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   60.20
20:03:06       5   39.80    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   58.16
20:03:06       6   32.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   64.00
20:03:06       7   43.88    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   53.06
20:03:06       8   39.39    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   57.58
20:03:06       9   46.53    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   49.50
20:03:06      10   36.73    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   61.22
20:03:06      11   56.57    0.00   26.26    0.00    0.00    0.00    0.00    0.00    0.00   17.17
20:03:06      12   31.31    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   64.65
20:03:06      13   45.45    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   51.52
20:03:06      14   35.35    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   60.61
20:03:06      15   36.73    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   61.22

20:03:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:03:07     all   19.36    0.00    1.25    0.00    0.00    0.19    0.00    0.00    0.00   79.20
20:03:07       0   22.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   77.78
20:03:07       1   12.87    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   85.15
20:03:07       2   13.13    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   84.85
20:03:07       3   17.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
20:03:07       4   12.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
20:03:07       5    7.14    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   91.84
20:03:07       6   15.15    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   83.84
20:03:07       7   12.87    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   85.15
20:03:07       8   18.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
20:03:07       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:03:07      10    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
20:03:07      11   17.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
20:03:07      12   18.18    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   79.80
20:03:07      13   11.11    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   87.88
20:03:07      14    9.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
20:03:07      15   14.85    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   84.16

20:03:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:03:08     all   16.78    0.00    0.95    0.19    0.00    0.06    0.00    0.00    0.00   82.02
20:03:08       0   20.20    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   77.78
20:03:08       1    8.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.75
20:03:08       2    8.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
20:03:08       3   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
20:03:08       4    6.06    0.00    1.01    2.02    0.00    0.00    0.00    0.00    0.00   90.91
20:03:08       5   15.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.85
20:03:08       6    7.07    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   91.92
20:03:08       7   17.35    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   81.63
20:03:08       8   13.13    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   85.86
20:03:08       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:03:08      10    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
20:03:08      11   11.88    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   86.14
20:03:08      12   13.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
20:03:08      13    7.07    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   89.90
20:03:08      14   12.24    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   86.73
20:03:08      15   12.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00

20:03:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:03:09     all   37.68    0.00    3.23    0.00    0.00    0.13    0.00    0.00    0.00   58.96
20:03:09       0   29.29    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   64.65
20:03:09       1   39.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   58.00
20:03:09       2   53.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   43.88
20:03:09       3   40.82    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   55.10
20:03:09       4   46.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   50.00
20:03:09       5   32.32    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   64.65
20:03:09       6   42.86    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   55.10
20:03:09       7   61.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   37.00
20:03:09       8   28.57    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   67.35
20:03:09       9   34.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00
20:03:09      10   23.47    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   72.45
20:03:09      11   27.55    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   68.37
20:03:09      12   28.57    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   70.41
20:03:09      13   52.53    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   42.42
20:03:09      14   28.57    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   67.35
20:03:09      15   34.69    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   62.24

20:03:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:03:10     all   16.21    0.00    1.82    0.00    0.00    0.06    0.06    0.00    0.00   81.85
20:03:10       0   16.33    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   82.65
20:03:10       1   12.75    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   85.29
20:03:10       2    5.94    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   91.09
20:03:10       3    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
20:03:10       4   31.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   68.37
20:03:10       5   13.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
20:03:10       6   11.22    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   87.76
20:03:10       7   24.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
20:03:10       8    8.16    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   87.76
20:03:10       9    5.05    0.00    2.02    0.00    0.00    0.00    1.01    0.00    0.00   91.92
20:03:10      10   24.75    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   73.27
20:03:10      11    6.86    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   89.22
20:03:10      12   76.77    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   22.22
