Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

19:49:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:49:57     all   38.94    0.00    3.86    0.19    0.00    0.13    0.00    0.00    0.00   56.89
19:49:57       0   44.44    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   53.54
19:49:57       1   40.40    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   56.57
19:49:57       2   34.65    0.00    3.96    0.99    0.00    0.00    0.00    0.00    0.00   60.40
19:49:57       3   36.36    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   61.62
19:49:57       4   33.33    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   64.65
19:49:57       5   36.73    0.00    3.06    1.02    0.00    0.00    0.00    0.00    0.00   59.18
19:49:57       6   45.92    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   52.04
19:49:57       7   41.84    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   56.12
19:49:57       8   40.40    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   56.57
19:49:57       9   34.34    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   63.64
19:49:57      10   29.59    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   68.37
19:49:57      11   44.90    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   53.06
19:49:57      12   47.47    0.00   26.26    0.00    0.00    1.01    0.00    0.00    0.00   25.25
19:49:57      13   34.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   63.00
19:49:57      14   34.69    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   62.24
19:49:57      15   44.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00

19:49:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:49:58     all   29.63    0.00    2.57    0.00    0.00    0.31    0.00    0.00    0.00   67.48
19:49:58       0   31.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00
19:49:58       1   22.77    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   74.26
19:49:58       2   29.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   68.00
19:49:58       3   20.41    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   77.55
19:49:58       4   31.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   68.00
19:49:58       5   25.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   71.00
19:49:58       6   21.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
