Linux 7.0.0-1006-aws (ip-172-31-28-187) 	06/20/26 	_x86_64_	(16 CPU)

19:33:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:33:28     all   35.12    0.00    3.96    0.13    0.00    0.00    0.00    0.00    0.00   60.79
19:33:28       0   34.69    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   62.24
19:33:28       1   45.45    0.00   27.27    0.00    0.00    0.00    0.00    0.00    0.00   27.27
19:33:28       2   33.67    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   64.29
19:33:28       3   30.30    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   66.67
19:33:28       4   31.31    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   66.67
19:33:28       5   38.38    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   59.60
19:33:28       6   39.39    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   57.58
19:33:28       7   33.66    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   63.37
19:33:28       8   40.82    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   57.14
19:33:28       9   31.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   66.00
19:33:28      10   32.65    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   65.31
19:33:28      11   38.61    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   59.41
19:33:28      12   31.68    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   65.35
19:33:28      13   34.34    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   63.64
19:33:28      14   31.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
19:33:28      15   35.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   61.00

19:33:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:33:29     all   12.63    0.00    1.45    0.51    0.00    0.06    0.00    0.00    0.00   85.35
19:33:29       0   14.14    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   82.83
19:33:29       1   12.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   85.00
19:33:29       2   13.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
