Linux 7.0.0-1006-aws (ip-172-31-47-97) 	06/20/26 	_x86_64_	(16 CPU)

14:53:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:53:47     all   26.57    0.00    4.95    0.38    0.00    0.25    0.00    0.00    0.00   67.85
14:53:47       0   23.23    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   73.74
14:53:47       1   18.37    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   78.57
14:53:47       2   19.19    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   75.76
14:53:47       3   14.29    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   82.65
14:53:47       4   21.21    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   74.75
14:53:47       5   34.34    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   61.62
14:53:47       6   56.57    0.00   20.20    0.00    0.00    0.00    0.00    0.00    0.00   23.23
14:53:47       7   42.86    0.00    3.06    1.02    0.00    0.00    0.00    0.00    0.00   53.06
14:53:47       8   27.55    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   69.39
14:53:47       9   21.65    0.00    3.09    1.03    0.00    0.00    0.00    0.00    0.00   74.23
14:53:47      10   21.00    0.00    3.00    1.00    0.00    1.00    0.00    0.00    0.00   74.00
14:53:47      11   16.49    0.00    3.09    1.03    0.00    1.03    0.00    0.00    0.00   78.35
14:53:47      12   32.32    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   63.64
14:53:47      13   24.49    0.00    3.06    1.02    0.00    1.02    0.00    0.00    0.00   70.41
14:53:47      14   30.69    0.00   10.89    0.99    0.00    0.00    0.00    0.00    0.00   57.43
14:53:47      15   20.41    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   75.51

14:53:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:53:48     all   20.44    0.00    3.05    0.83    0.00    0.51    0.00    0.00    0.00   75.17
14:53:48       0   10.10    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   86.87
14:53:48       1    7.07    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   87.88
14:53:48       2   52.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   47.00
14:53:48       3    9.28    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   87.63
14:53:48       4    5.10    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   90.82
14:53:48       5   20.62    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   77.32
14:53:48       6   21.21    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   77.78
14:53:48       7   11.22    0.00    4.08    1.02    0.00    1.02    0.00    0.00    0.00   82.65
14:53:48       8   28.28    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   69.70
14:53:48       9    9.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
14:53:48      10   10.20    0.00    6.12    4.08    0.00    0.00    0.00    0.00    0.00   79.59
14:53:48      11   18.18    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   78.79
14:53:48      12   10.31    0.00    4.12    8.25    0.00    1.03    0.00    0.00    0.00   76.29
14:53:48      13   10.20    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   86.73
14:53:48      14   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:53:48      15    6.12    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   87.76

14:53:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:53:49     all   25.97    0.00    5.64    1.33    0.00    0.57    0.00    0.00    0.00   66.50
14:53:49       0   18.18    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   77.78
14:53:49       1   14.29    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   77.55
14:53:49       2   16.49    0.00    8.25    3.09    0.00    0.00    0.00    0.00    0.00   72.16
14:53:49       3   24.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   70.00
14:53:49       4   23.47    0.00    3.06    2.04    0.00    0.00    0.00    0.00    0.00   71.43
14:53:49       5   16.33    0.00    6.12    1.02    0.00    0.00    0.00    0.00    0.00   76.53
14:53:49       6   25.25    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   70.71
14:53:49       7   18.37    0.00    6.12    1.02    0.00    1.02    0.00    0.00    0.00   73.47
14:53:49       8   46.53    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   49.50
14:53:49       9   17.53    0.00    6.19    3.09    0.00    1.03    0.00    0.00    0.00   72.16
14:53:49      10   17.17    0.00    6.06    1.01    0.00    1.01    0.00    0.00    0.00   74.75
14:53:49      11   21.00    0.00    8.00    5.00    0.00    1.00    0.00    0.00    0.00   65.00
14:53:49      12   17.35    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   74.49
14:53:49      13   20.20    0.00    6.06    3.03    0.00    1.01    0.00    0.00    0.00   69.70
14:53:49      14   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:53:49      15   24.49    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   70.41

14:53:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:53:50     all   32.27    0.00    3.94    1.08    0.00    0.38    0.00    0.00    0.00   62.33
14:53:50       0   17.17    0.00    6.06    1.01    0.00    1.01    0.00    0.00    0.00   74.75
14:53:50       1   22.45    0.00    4.08    1.02    0.00    1.02    0.00    0.00    0.00   71.43
14:53:50       2   33.66    0.00    4.95    0.99    0.00    0.99    0.00    0.00    0.00   59.41
14:53:50       3   42.42    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   55.56
14:53:50       4   45.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   51.00
14:53:50       5   22.45    0.00    6.12    7.14    0.00    1.02    0.00    0.00    0.00   63.27
14:53:50       6   22.45    0.00    5.10    1.02    0.00    0.00    0.00    0.00    0.00   71.43
14:53:50       7   23.47    0.00    4.08    2.04    0.00    0.00    0.00    0.00    0.00   70.41
14:53:50       8   10.31    0.00    5.15    1.03    0.00    1.03    0.00    0.00    0.00   82.47
14:53:50       9   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
14:53:50      10   33.33    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   63.64
14:53:50      11   26.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   71.88
14:53:50      12   34.02    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   62.89
14:53:50      13   32.99    0.00    5.15    1.03    0.00    0.00    0.00    0.00    0.00   60.82
14:53:50      14   23.71    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   70.10
14:53:50      15   25.25    0.00    4.04    1.01    0.00    0.00    0.00    0.00    0.00   69.70

14:53:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:53:51     all   22.61    0.00    1.76    1.13    0.00    0.25    0.06    0.00    0.00   74.18
14:53:51       0   16.83    0.00    1.98    0.99    0.00    0.99    0.99    0.00    0.00   78.22
14:53:51       1   18.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
14:53:51       2   16.49    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   81.44
14:53:51       3    1.01    0.00    2.02    1.01    0.00    1.01    0.00    0.00    0.00   94.95
14:53:51       4    3.06    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   94.90
14:53:51       5   28.28    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   68.69
14:53:51       6   10.20    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   86.73
14:53:51       7   17.17    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   80.81
14:53:51       8   19.19    0.00    3.03    2.02    0.00    0.00    0.00    0.00    0.00   75.76
14:53:51       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14:53:51      10   13.13    0.00    2.02    4.04    0.00    0.00    0.00    0.00    0.00   80.81
14:53:51      11   22.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
14:53:51      12   20.00    0.00    2.00    2.00    0.00    1.00    0.00    0.00    0.00   75.00
14:53:51      13   23.23    0.00    2.02    2.02    0.00    0.00    0.00    0.00    0.00   72.73
14:53:51      14   34.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   64.00
14:53:51      15   18.00    0.00    1.00    1.00    0.00    1.00    0.00    0.00    0.00   79.00

14:53:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:53:52     all   14.15    0.00    1.26    0.51    0.00    0.13    0.00    0.00    0.00   83.95
14:53:52       0   26.80    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   71.13
14:53:52       1   89.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
14:53:52       2    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
14:53:52       3    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
14:53:52       4    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
14:53:52       5   12.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   86.00
14:53:52       6    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
14:53:52       7    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
14:53:52       8   11.11    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.88
14:53:52       9    6.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.88
14:53:52      10   28.57    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   70.41
14:53:52      11   10.10    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   87.88
14:53:52      12    5.05    0.00    1.01    3.03    0.00    0.00    0.00    0.00    0.00   90.91
