ts_utc,elapsed_s,rss_total_kb,rss_n1_kb,rss_n2_kb,rss_n3_kb,heap_used_total_kb,fd_total,fd_n1,fd_n2,fd_n3,threads_total,gc_cycles_total,gc_cumsec_total,commit_p50_us,commit_p99_us,committed,rejected
2026-06-14T04:56:44Z,64,779248,239836,312520,226892,73487,69,23,23,23,93,4,0.894,48223,1029631,5087,62
2026-06-14T04:57:49Z,129,1093024,310572,427560,354892,130875,69,23,23,23,93,8,1.486,10135,567807,5801,15
2026-06-14T04:58:53Z,193,1249404,411744,417532,420128,223056,69,23,23,23,93,14,2.486,8311,145919,5954,0
2026-06-14T05:00:55Z,315,1231420,409672,408936,412812,233311,69,23,23,23,93,19,16.320,16863,7192575,4224,1411
2026-06-14T05:01:59Z,379,1439180,592568,421308,425304,223091,69,23,23,23,93,23,17.011,6651,32559,6000,0
2026-06-14T05:03:03Z,443,1836784,989316,421756,425712,890755,69,23,23,23,93,28,17.674,6475,23327,6000,0
2026-06-14T05:04:07Z,507,1837340,989412,421904,426024,896916,69,23,23,23,93,32,18.102,6555,24095,5981,0
2026-06-14T05:05:10Z,570,1837808,989448,422248,426112,896924,69,23,23,23,93,36,18.647,6139,23375,5973,0
2026-06-14T05:06:14Z,634,1854184,1005936,422200,426048,798630,69,23,23,23,93,40,19.405,6219,24703,6000,0
2026-06-14T05:07:18Z,698,1834432,999312,415928,419192,800678,69,23,23,23,93,43,19.982,7263,286719,5979,0
2026-06-14T05:08:23Z,763,1910728,1074424,413528,422776,788396,69,23,23,23,93,48,20.886,7975,44159,5980,0
2026-06-14T05:10:02Z,862,1898868,1067992,417304,413572,782255,69,23,23,23,93,51,22.056,38239,37388287,2963,2792
2026-06-14T05:12:06Z,986,1900244,1070280,415584,414380,774075,69,23,23,23,93,52,22.279,10813439,82968575,1920,3864
2026-06-14T05:13:11Z,1050,1904140,1071192,412092,420856,786375,69,23,23,23,93,58,23.514,6435,58591,6000,0
2026-06-14T05:16:36Z,1256,1906756,1078284,413084,415388,239587,69,23,23,23,93,62,25.657,336127,120061951,2983,2206
2026-06-14T05:17:54Z,1334,1951472,1109440,422400,419632,225276,69,23,23,23,93,65,34.145,407551,13484031,2922,2543
2026-06-14T05:19:24Z,1424,2107124,1110216,414104,582804,235516,69,23,23,23,93,66,34.515,31359,6430719,4532,620
2026-06-14T05:20:30Z,1490,2368848,1109140,413080,846628,219137,69,23,23,23,93,68,35.486,23823,463871,5763,0
2026-06-14T05:21:42Z,1562,2541304,1104832,416116,1020356,759868,69,23,23,23,93,71,35.969,7155,322815,5870,0
2026-06-14T05:22:46Z,1626,2557292,1108900,420752,1027640,1083499,69,23,23,23,93,74,36.372,6039,18367,5982,0
2026-06-14T05:23:50Z,1690,2555136,1108464,419888,1026784,1081451,69,23,23,23,93,77,36.771,6511,28591,6000,0
2026-06-14T05:24:54Z,1754,2564936,1110500,421868,1032568,1087595,69,23,23,23,93,81,37.189,6263,25087,6000,0
2026-06-14T05:25:57Z,1817,2573508,1111460,422764,1039284,622700,69,23,23,23,93,87,38.007,6767,27535,6000,0
2026-06-14T05:27:01Z,1881,2573620,1111572,422764,1039284,551020,69,23,23,23,93,90,38.358,6455,17567,6000,0
2026-06-14T05:28:05Z,1945,2580028,1114624,422868,1042536,213087,69,23,23,23,93,95,39.028,6379,20815,6000,0
2026-06-14T05:29:09Z,2009,2580528,1114624,423368,1042536,217183,69,23,23,23,93,98,39.364,6823,38911,6000,0
2026-06-14T05:30:13Z,2073,2589424,1113608,422972,1052844,227423,69,23,23,23,93,103,40.064,6667,33279,6000,0
2026-06-14T05:31:17Z,2137,2585752,1112164,421920,1051668,290912,69,23,23,23,93,107,40.568,6879,25855,6000,0
2026-06-14T05:32:21Z,2201,2585436,1112044,421828,1051564,235616,69,23,23,23,93,110,40.917,6375,17519,6000,0
2026-06-14T05:33:25Z,2265,2589464,1115708,422160,1051596,229475,69,23,23,23,93,117,41.990,6503,23887,6000,0
2026-06-14T05:34:29Z,2329,2589636,1115708,422160,1051768,223332,69,23,23,23,93,121,42.528,6567,20223,6000,0
2026-06-14T05:35:34Z,2393,2589328,1115248,421852,1052228,225376,69,23,23,23,93,126,43.262,6471,21919,6000,0
2026-06-14T05:36:38Z,2458,2576016,1111372,417772,1046872,237659,69,23,23,23,93,131,44.446,7915,51327,5970,0
2026-06-14T05:38:18Z,2558,2569916,1110764,414164,1044988,233563,69,23,23,23,93,133,45.587,38043647,68550655,2452,3437
2026-06-14T05:42:35Z,2815,2582880,1113980,418728,1050172,221280,69,23,23,23,93,136,54.073,1266687,29130751,2717,2781
2026-06-14T05:43:41Z,2881,2618180,1112260,460904,1045016,215138,69,23,23,23,93,140,55.231,9023,403455,5932,0
2026-06-14T05:44:46Z,2946,2780728,1114008,619560,1047160,229474,69,23,23,23,93,143,55.729,6139,19199,6000,0
2026-06-14T05:45:50Z,3010,2944224,1115816,775856,1052552,225379,69,23,23,23,93,149,56.638,6827,21983,6000,0
2026-06-14T05:46:54Z,3074,3209740,1114336,1045020,1050384,643173,69,23,23,23,93,153,57.300,6299,48959,5992,0
2026-06-14T05:47:58Z,3138,3220412,1114984,1054300,1051128,233573,69,23,23,23,93,158,58.489,6399,23567,6000,0
2026-06-14T05:49:02Z,3202,3229780,1116776,1062132,1050872,241765,69,23,23,23,93,161,59.001,6403,28111,6000,0
2026-06-14T05:50:06Z,3266,3229780,1116776,1062132,1050872,239717,69,23,23,23,93,164,59.503,6291,17647,6000,0
2026-06-14T05:51:10Z,3330,3235184,1116124,1068340,1050720,344178,69,23,23,23,93,169,60.372,6587,19359,6000,0
2026-06-14T05:52:14Z,3394,3235360,1116212,1068388,1050760,243826,69,23,23,23,93,173,61.125,6371,17583,6000,0
2026-06-14T05:53:18Z,3458,3239852,1118380,1070504,1050968,231538,69,23,23,23,93,178,61.937,6255,23167,6000,0
2026-06-14T05:54:22Z,3522,3238720,1117600,1070268,1050852,243826,69,23,23,23,93,185,62.808,6419,20271,6000,0
2026-06-14T05:55:26Z,3586,3235424,1116648,1068856,1049920,245874,69,23,23,23,93,192,63.752,6515,20047,6000,0
2026-06-14T05:56:30Z,3650,3236572,1117344,1069080,1050148,239730,69,23,23,23,93,198,64.797,6399,46911,6000,0
2026-06-14T05:57:34Z,3714,3237520,1117344,1070032,1050144,243826,69,23,23,23,93,205,65.815,6251,17983,6000,0
2026-06-14T05:58:38Z,3778,3235276,1116804,1068920,1049552,239731,69,23,23,23,93,213,66.945,6159,20479,6000,0
2026-06-14T05:59:42Z,3842,3235188,1116756,1068804,1049628,307315,69,23,23,23,93,219,67.826,6491,21871,6000,0
2026-06-14T06:00:47Z,3907,3235032,1116512,1069104,1049416,260211,69,23,23,23,93,226,68.911,6815,21183,6000,0
2026-06-14T06:01:51Z,3971,3236448,1116632,1070436,1049380,297075,69,23,23,23,93,233,70.012,6403,28591,6000,0
2026-06-14T06:02:55Z,4035,3235380,1116152,1069356,1049872,254067,69,23,23,23,93,239,71.022,6827,20335,6000,0
