ts_utc,elapsed_s,rss_total_kb,rss_n1_kb,rss_n2_kb,rss_n3_kb,heap_used_total_kb,fd_total,fd_n1,fd_n2,fd_n3,threads_total,gc_cycles_total,gc_cumsec_total,commit_p50_us,commit_p99_us,committed,rejected
2026-06-20T22:16:35Z,31,1329584,374428,580572,374584,156729,107,35,37,35,168,4,0.076,2161,94975,12000,0
2026-06-20T22:17:07Z,63,1957008,579880,809720,567408,308365,107,35,37,35,168,9,0.261,2083,4731,12000,0
2026-06-20T22:17:38Z,94,2367040,795956,820112,750972,308416,107,35,37,35,170,14,0.495,2077,3193,12000,0
2026-06-20T22:18:10Z,126,2419336,804652,822604,792080,302246,107,35,37,35,168,21,0.855,2037,3197,12000,0
2026-06-20T22:18:41Z,157,2427852,806892,823264,797696,277698,107,35,37,35,170,28,1.223,2025,3231,12000,0
2026-06-20T22:19:13Z,189,2450268,810744,823948,815576,273666,107,35,37,35,168,36,1.628,2019,3147,12000,0
2026-06-20T22:19:44Z,220,2451744,811128,824284,816332,279817,107,35,37,35,168,43,1.998,2026,3039,12000,0
2026-06-20T22:20:16Z,251,2452200,811460,824296,816444,267541,107,35,37,35,168,49,2.338,2030,3103,12000,0
2026-06-20T22:20:47Z,283,2452840,811468,824324,817048,341283,107,35,37,35,168,56,2.688,2010,3061,12000,0
2026-06-20T22:21:18Z,314,2453616,811480,824740,817396,273703,107,35,37,35,168,62,2.999,2007,3071,12000,0
2026-06-20T22:21:50Z,346,2454352,811676,825088,817588,402741,107,35,37,35,168,70,3.392,2014,3057,12000,0
2026-06-20T22:22:21Z,377,2454396,811692,825116,817588,281917,107,35,37,35,168,77,3.748,2019,2901,12000,0
2026-06-20T22:22:53Z,409,2454896,812176,825128,817592,361797,107,35,37,35,168,83,4.043,2019,3035,12000,0
2026-06-20T22:23:24Z,440,2455180,812188,825156,817836,347463,107,35,37,35,168,90,4.384,2035,3157,12000,0
2026-06-20T22:23:56Z,472,2455296,812188,825156,817952,279880,107,35,37,35,168,96,4.662,2014,3205,12000,0
2026-06-20T22:24:27Z,503,2455976,812768,825252,817956,423248,107,35,37,35,168,104,5.109,2017,3537,12000,0
2026-06-20T22:24:59Z,535,2456224,812836,825252,818136,279888,107,35,37,35,168,111,5.446,2037,3011,12000,0
2026-06-20T22:25:30Z,566,2456272,812836,825268,818168,357715,107,35,37,35,168,117,5.748,2053,3703,12000,0
2026-06-20T22:26:02Z,598,2456408,812940,825300,818168,347482,107,35,37,35,168,124,6.152,2143,9103,12000,0
2026-06-20T22:26:33Z,629,2456860,812976,825388,818496,277852,107,35,37,35,168,130,6.446,2022,3041,12000,0
2026-06-20T22:27:04Z,660,2457200,813220,825400,818580,349533,107,35,37,35,168,138,6.852,2021,3153,12000,0
