ts_utc,elapsed_s,rss_total_kb,rss_n1_kb,rss_n2_kb,rss_n3_kb,heap_used_total_kb,fd_total,fd_n1,fd_n2,fd_n3,threads_total,gc_cycles_total,gc_cumsec_total,commit_p50_us,commit_p99_us,committed,rejected
2026-06-14T04:40:07Z,35,585076,189544,202380,193152,63218,69,23,23,23,93,3,0.547,76031,622591,2335,4
2026-06-14T04:40:41Z,69,839104,242220,284364,312520,77567,69,23,23,23,93,4,0.658,12623,161151,2980,0
2026-06-14T04:41:14Z,102,997116,320236,310728,366152,91933,69,23,23,23,93,6,1.187,10815,631295,2934,0
2026-06-14T04:41:48Z,136,1061656,320428,317840,423388,96029,69,23,23,23,93,7,1.477,7283,37567,3000,0
2026-06-14T04:42:22Z,170,1175964,348492,403712,423760,130855,69,23,23,23,93,9,1.666,7003,27695,3000,0
2026-06-14T04:42:55Z,203,1276172,430028,422392,423752,220985,69,23,23,23,93,13,2.325,8247,611327,2978,0
2026-06-14T04:43:29Z,237,1275748,430112,422216,423420,290616,69,23,23,23,93,17,2.940,8079,152575,2992,0
2026-06-14T04:44:03Z,271,1246468,420392,412320,413756,220986,69,23,23,23,93,21,3.478,6763,40415,3000,0
2026-06-14T04:44:37Z,305,1255252,420556,420632,414064,235327,69,23,23,23,93,24,3.900,7751,52127,2984,0
2026-06-14T04:45:06Z,334,1256476,421548,420712,414216,235327,69,23,23,23,93,27,4.271,7615,258559,2485,0
